Feature,Importance
waitlist_number,0.5546349838201954
wl_seat_ratio,0.425126402758061
quota,0.0044121081812970074
travel_class,0.0037859461023946406
confirm_signal,0.0019038765438943127
cancel_pressure,0.0014527642609756311
destination,0.0013297098969140197
historical_confirm_rate,0.0013284365620954764
days_before_travel,0.0013202977038895307
source_station,0.001215561834313796
total_seats,0.0008081399539067122
cancellation_trend,0.0007798499409727764
train_no,0.0007279042587611057
season,0.0006176616532439567
train_type,0.00026731811413912253
is_premium_class,0.00016691303366373568
booking_urgency,0.00012212538128173673
